ID,Event_Type,Location,Country,Venue,Date,Start_Time,End_Time,Duration
302,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/01/2013,20:00,23:29,209
303,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,06/01/2013,00:30,03:02,152
304,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,06/01/2013,15:00,18:49,229
305,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,07/01/2013,10:30,12:36,126
306,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/01/2013,19:30,22:24,174
307,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/01/2013,19:30,22:47,197
308,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/01/2013,20:00,22:14,134
309,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/01/2013,20:00,23:14,194
310,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/01/2013,19:30,23:04,214
311,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/01/2013,19:30,22:57,207
312,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/01/2013,14:00,16:04,124
313,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/01/2013,20:00,22:42,162
314,Chamber,Manhattan,USA,Merkin Concert Hall,20/01/2013,15:00,17:45,165
315,Chamber,Manhattan,USA,The Stanley H. Kaplan Penthouse,22/01/2013,19:00,21:12,132
316,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/01/2013,19:30,22:51,201
317,Subscription Season,Manhattan,USA,Avery Fisher Hall,25/01/2013,20:00,23:51,231
318,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/01/2013,20:00,23:29,209
319,Young People's Concert,Manhattan,USA,Avery Fisher Hall,26/01/2013,14:00,16:46,166
320,Pension Fund Benefit Concert,Manhattan,USA,Avery Fisher Hall,29/01/2013,19:30,22:41,191
321,Subscription Season,Manhattan,USA,Avery Fisher Hall,31/01/2013,19:30,22:22,172
322,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/02/2013,20:00,23:24,204
323,Subscription Season,Manhattan,USA,Avery Fisher Hall,02/02/2013,20:00,23:19,199
324,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,02/02/2013,14:00,16:41,161
325,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/02/2013,19:30,22:36,186
326,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/02/2013,19:30,21:28,118
327,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/02/2013,20:00,22:43,163
328,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/02/2013,20:00,22:55,175
329,Non-Subscription,Manhattan,USA,Avery Fisher Hall,12/02/2013,19:30,21:59,149
330,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/02/2013,19:30,22:07,157
331,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/02/2013,20:00,23:17,197
332,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/02/2013,20:00,23:20,200
333,Chamber,Manhattan,USA,Merkin Concert Hall,17/02/2013,15:00,17:41,161
334,Insight Series,Manhattan,USA,The Stanley H. Kaplan Penthouse,20/02/2013,18:30,21:55,205
335,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/02/2013,19:30,22:41,191
336,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/02/2013,11:00,12:01,61
337,Tour,Ann Arbor,USA,Hill Auditorium,23/02/2013,20:00,23:44,224
338,Tour,Ann Arbor,USA,Hill Auditorium,24/02/2013,14:00,17:24,204
339,Non-Subscription,Manhattan,USA,Avery Fisher Hall,27/02/2013,19:30,21:49,139
340,Non-Subscription,Manhattan,USA,Avery Fisher Hall,28/02/2013,19:30,22:01,151
341,Non-Subscription,Manhattan,USA,Avery Fisher Hall,01/03/2013,20:00,22:59,179
342,Non-Subscription,Manhattan,USA,Avery Fisher Hall,02/03/2013,14:00,16:49,169
343,Non-Subscription,Manhattan,USA,Avery Fisher Hall,02/03/2013,20:00,23:01,181
344,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/03/2013,19:30,23:05,215
345,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/03/2013,19:30,22:20,170
346,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/03/2013,20:00,22:28,148
347,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/03/2013,20:00,23:02,182
348,Insight Series,Manhattan,USA,New York Institute of Technology Broadway Auditorium,11/03/2013,18:30,21:11,161
349,Chamber Concert (Private),Manhattan,USA,Haseltine residence,12/03/2013,19:00,22:22,202
350,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/03/2013,19:30,21:38,128
351,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/03/2013,19:30,22:18,168
352,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/03/2013,20:00,22:24,144
353,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/03/2013,20:00,22:34,154
354,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,17/03/2013,00:30,03:31,181
355,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,17/03/2013,15:00,17:42,162
356,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,18/03/2013,22:30,23:19,49
357,Rush Hour,Manhattan,USA,Avery Fisher Hall,20/03/2013,18:45,21:04,139
358,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/03/2013,19:30,21:27,117
359,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/03/2013,14:00,16:02,122
360,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/03/2013,20:00,22:53,173
361,Chamber Concert (Private),Manhattan,USA,Bruno Walter Auditorium,24/03/2013,17:30,21:06,216
362,Soloist Recital,Manhattan,USA,Holy Trinity Lutheran Church,27/03/2013,19:30,22:09,159
363,Soloist Recital,Manhattan,USA,Holy Trinity Lutheran Church,01/04/2013,19:30,22:23,173
364,Subscription Season,Manhattan,USA,Avery Fisher Hall,03/04/2013,19:30,22:05,155
365,Subscription Season,Manhattan,USA,Avery Fisher Hall,04/04/2013,19:30,22:21,171
366,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/04/2013,11:00,12:12,72
367,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/04/2013,20:00,22:59,179
368,Contact!,Manhattan,USA,Metropolitan Museum of Art,05/04/2013,19:00,22:03,183
369,Contact!,Manhattan,USA,Symphony Space,06/04/2013,20:00,22:09,129
370,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,09/04/2013,19:00,21:43,163
371,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/04/2013,19:30,22:46,196
372,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/04/2013,20:00,23:58,238
373,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/04/2013,20:00,23:06,186
374,Young People's Concert,Manhattan,USA,Avery Fisher Hall,13/04/2013,14:00,16:56,176
375,Chamber,Manhattan,USA,Kurtz Residence (Home of Honey M. Kurtz),15/04/2013,19:00,22:37,217
376,Insight Series,Manhattan,USA,New York Institute of Technology Broadway Auditorium,16/04/2013,18:30,20:21,111
377,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/04/2013,19:30,22:10,160
378,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/04/2013,19:30,22:10,160
379,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/04/2013,20:00,22:59,179
380,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/04/2013,20:00,23:28,208
381,Chamber,Manhattan,USA,Merkin Concert Hall,21/04/2013,15:00,18:16,196
382,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,23/04/2013,19:00,21:08,128
383,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/04/2013,19:30,22:00,150
384,Subscription Season,Manhattan,USA,Avery Fisher Hall,25/04/2013,19:30,22:23,173
385,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/04/2013,20:00,23:14,194
386,Non-Subscription,Manhattan,USA,Carnegie Hall,26/04/2013,20:00,22:37,157
387,Tour,Izmir,TURKEY,Ahmed Adnan Saygun Arts Centre,02/05/2013,20:30,23:22,172
388,Tour,Istanbul,TURKEY,Halic Auditorium,03/05/2013,20:00,22:29,149
389,Tour,Istanbul,TURKEY,Halic Auditorium,04/05/2013,20:00,23:16,196
390,Tour,Zurich,SWITZERLAND,Tonhalle,06/05/2013,19:30,22:42,192
391,Tour,Munich,GERMANY,Gasteig Philharmonie,07/05/2013,20:00,23:21,201
392,Tour,Essen,GERMANY,Philharmonie (Alfried-Krupp Hall),08/05/2013,20:30,23:53,203
393,Tour,Dortmund,GERMANY,Konzerthaus,09/05/2013,18:00,21:03,183
394,Tour,Berlin,GERMANY,Konzerthaus Berlin,11/05/2013,20:00,22:01,121
395,Tour - Chamber,Berlin,GERMANY,US Ambassador Residence,12/05/2013,16:00,19:42,222
396,Tour,Dresden,GERMANY,Semperopera,13/05/2013,20:00,21:44,104
397,Tour,Dresden,GERMANY,Transparent Factory,14/05/2013,20:00,23:17,197
398,Tour,Vienna,AUSTRIA,Wiener Konzerthaus (Grosser Saal),15/05/2013,19:30,21:50,140
399,Tour,Vienna,AUSTRIA,Wiener Konzerthaus (Grosser Saal),16/05/2013,19:30,22:09,159
400,Tour,Vienna,AUSTRIA,Wiener Konzerthaus (Grosser Saal),17/05/2013,19:30,22:41,191
401,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,23/05/2013,00:00,03:16,196
402,Chamber Concert (Private),Manhattan,USA,"Hite Residence, Central Park S.",23/05/2013,15:00,23:31,511
403,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,23/05/2013,10:30,12:51,141
