Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
19 Jun 1971,Sat,1971,ST,,SAF,FRA,8,8,1,1,2,2,"Kings Park Stadium, Durban",N
26 Jun 1971,Sat,1971,LT,1,NZL,LIO,3,9,0,1,0,4,"Carisbrook, Dunedin",N
10 Jul 1971,Sat,1971,LT,2,NZL,LIO,22,12,5,2,5,0,"Lancaster Park, Christchurch",N
17 Jul 1971,Sat,1971,TO,,AUS,SAF,11,19,1,3,0,4,"Cricket Ground, Sydney",N
31 Jul 1971,Sat,1971,TO,,AUS,SAF,6,14,0,3,0,4,"Exhibition Ground, Brisbane",N
31 Jul 1971,Sat,1971,LT,3,NZL,LIO,3,13,1,2,0,4,"Athletic Park, Wellington",N
07 Aug 1971,Sat,1971,TO,,AUS,SAF,6,18,1,3,0,4,"Cricket Ground, Sydney",N
14 Aug 1971,Sat,1971,LT,4,NZL,LIO,14,14,2,1,2,2,"Eden Park, Auckland",N
20 Nov 1971,Sat,1971,TO,,FRA,AUS,11,13,2,2,1,4,Stade Toulouse,N
27 Nov 1971,Sat,1971,TO,,FRA,AUS,18,9,1,0,4,0,"Stade Colombes, Paris",N
11 Dec 1971,Sat,1971,,,FRA,ROM,31,12,4,0,5,0,"Parc Sauclieres, Beziers",N
15 Jan 1972,Sat,1972,5N,,SCO,FRA,20,9,3,1,4,0,"Murrayfield, Edinburgh",N
15 Jan 1972,Sat,1972,5N,,ENG,WAL,3,12,0,1,0,4,"Twickenham, London",N
29 Jan 1972,Sat,1972,5N,,FRA,IRE,9,14,1,2,1,4,"Stade Colombes, Paris",N
05 Feb 1972,Sat,1972,5N,,WAL,SCO,35,12,5,1,5,0,Cardiff Arms Park,N
12 Feb 1972,Sat,1972,5N,,ENG,IRE,12,16,1,2,1,4,"Twickenham, London",N
26 Feb 1972,Sat,1972,5N,,FRA,ENG,37,12,6,1,5,0,"Stade Colombes, Paris",N
18 Mar 1972,Sat,1972,5N CA,,SCO,ENG,23,9,2,0,4,0,"Murrayfield, Edinburgh",N
25 Mar 1972,Sat,1972,5N,,WAL,FRA,20,6,2,0,4,0,Cardiff Arms Park,N
29 Apr 1972,Sat,1972,,,IRE,FRA,24,14,3,3,4,0,"Lansdowne Rd, Dublin",N
03 Jun 1972,Sat,1972,ST,,SAF,ENG,9,18,0,1,0,4,"Ellis Park, Johannesburg",N
17 Jun 1972,Sat,1972,ST,,AUS,FRA,14,14,2,3,2,2,"Cricket Ground, Sydney",N
25 Jun 1972,Sun,1972,ST,,AUS,FRA,15,16,0,3,1,4,"Ballymore, Brisbane",N
19 Aug 1972,Sat,1972,BC,n ,NZL,AUS,29,6,5,0,5,0,"Athletic Park, Wellington",N
02 Sep 1972,Sat,1972,BC,n ,NZL,AUS,30,17,5,3,5,0,"Lancaster Park, Christchurch",N
16 Sep 1972,Sat,1972,BC,n ,NZL,AUS,38,3,6,0,5,0,"Eden Park, Auckland",N
19 Sep 1972,Tue,1972,TO,,FIJ,AUS,19,21,2,4,1,5,"Buckhurst Park, Suva",N
26 Nov 1972,Sun,1972,,,ROM,FRA,6,15,0,1,0,4,Constanta,N
02 Dec 1972,Sat,1972,TO,,WAL,NZL,16,19,1,1,1,4,Cardiff Arms Park,N
16 Dec 1972,Sat,1972,TO,,SCO,NZL,9,14,0,3,1,4,"Murrayfield, Edinburgh",N
06 Jan 1973,Sat,1973,TO,,ENG,NZL,0,9,0,1,0,4,"Twickenham, London",N
13 Jan 1973,Sat,1973,5N,,FRA,SCO,16,13,1,1,4,1,"Parc des Princes, Paris",N
