Date,Open,High,Low,Close
2014-04-28,514.352,515.764,500.05,514.322
2014-04-29,514.073,526.565,513.497,524.814
2014-04-30,524.715,525.113,519.663,523.78
2014-05-01,524.228,530.016,521.015,528.444
2014-05-02,530.841,531.08,522.736,525.043
2014-05-05,521.95,526.008,518.469,524.924
2014-05-06,522.358,523.929,512.243,512.323
2014-05-07,512.969,513.855,500.548,507.171
2014-05-08,505.68,514.402,503.68,508.206
2014-05-09,507.957,517.057,501.443,515.893
2014-05-12,520.647,527.291,516.172,527.022
2014-05-13,527.987,533.138,526.614,530.175
2014-05-14,530.085,530.085,522.417,523.77
2014-05-15,522.825,522.994,514.591,517.137
2014-05-16,518.539,518.947,512.621,517.783
2014-05-19,516.858,526.883,514.753,525.968
2014-05-20,526.843,533.298,523.422,526.873
2014-05-21,529.986,536.234,529.001,535.993
2014-05-22,538.171,544.605,537.823,542.079
2014-05-23,544.267,550.612,540.727,549.678
2014-05-27,552.96,562.905,551.319,562.855
2014-05-28,561.483,564.735,557.932,558.608
2014-05-29,560.269,560.916,555.655,557.017
2014-05-30,557.733,558.28,552.87,556.828
2014-06-02,557.634,557.833,542.746,550.901
2014-06-03,547.977,549.32,539.583,541.96
2014-06-04,538.539,545.61,535.804,541.682
2014-06-05,543.412,551.915,541.473,550.871
2014-06-06,555.008,555.008,545.928,553.288
2014-06-09,554.103,559.822,552.999,559.046
2014-06-10,557.445,560.518,554.849,557.485
2014-06-11,554.949,556.818,551.985,555.784
2014-06-12,554.252,554.939,545.461,548.335
2014-06-13,549.24,549.28,542.577,548.743
2014-06-16,546.256,546.614,538.559,541.304
2014-06-17,541.224,542.338,536.381,540.041
2014-06-18,541.88,550.533,541.025,550.344
2014-06-19,551.209,551.965,545.51,551.866
2014-06-20,553.805,554.531,547.382,553.318
2014-06-23,552.114,561.91,551.219,561.861
2014-06-24,562.099,569.515,557.942,561.532
2014-06-25,562.169,576.789,562.129,575.486
2014-06-26,577.823,579.265,568.723,572.85
2014-06-27,574.024,576.699,570.662,574.083
2014-06-30,575.496,576.401,571.607,572.134
2014-07-01,575.157,581.204,573.497,579.484
2014-07-02,580.16,582.239,577.216,579.151
2014-07-03,580.16,581.811,577.743,581.532
2014-07-07,580.568,583.223,576.421,579.066
2014-07-08,574.501,576.359,563.039,567.967
2014-07-09,568.454,573.566,566.262,572.93
2014-07-10,562.815,573.437,561.92,567.977
2014-07-11,568.783,577.674,568.295,576.013
2014-07-14,579.414,582.01,574.869,581.672
2014-07-15,582.537,582.602,573.407,581.582
2014-07-16,584.785,585.182,579.016,579.474
2014-07-17,576.361,577.813,565.501,570.593
2014-07-18,589.757,593.536,578.817,591.826
2014-07-21,588.514,591.15,582.033,586.247
2014-07-22,587.49,596.371,587.37,591.488
2014-07-23,589.986,594.581,589.26,592.721
2014-07-24,593.188,596.222,588.534,590.105
2014-07-25,587.171,588.623,583.82,585.799
2014-07-28,584.854,589.26,581.555,587.37
2014-07-29,585.53,586.475,580.324,582.408
2014-07-30,583.342,586.276,580.806,584.208
2014-07-31,577.425,580.458,566.883,568.474
2014-08-01,567.281,572.81,559.772,562.974
2014-08-04,565.928,572.204,561.015,570.016
2014-08-05,566.933,568.852,559.533,561.98
2014-08-06,558.708,567.579,556.938,563.277
2014-08-07,564.894,566.774,558.032,560.279
